Date,Ville,Prix
01/12/23,Cotonou,579
02/12/23,Porto-Novo,506
03/12/23,Parakou,582
04/12/23,Natitingou,615
05/12/23,Bohicon,583
06/12/23,Lokossa,595
01/01/24,Cotonou,535
02/01/24,Porto-Novo,473
03/01/24,Parakou,533
04/01/24,Natitingou,590
05/01/24,Bohicon,546
06/01/24,Lokossa,554
01/02/24,Cotonou,546
02/02/24,Porto-Novo,431
03/02/24,Parakou,487
04/02/24,Natitingou,554
05/02/24,Bohicon,514
06/02/24,Lokossa,529
01/03/24,Cotonou,575
02/03/24,Porto-Novo,469
03/03/24,Parakou,467
04/03/24,Natitingou,542
05/03/24,Bohicon,513
06/03/24,Lokossa,527
01/04/24,Cotonou,675
02/04/24,Porto-Novo,575
03/04/24,Parakou,575
04/04/24,Natitingou,646
05/04/24,Bohicon,667
06/04/24,Lokossa,660
01/05/24,Cotonou,617
02/05/24,Porto-Novo,571
03/05/24,Parakou,671
04/05/24,Natitingou,696
05/05/24,Bohicon,575
06/05/24,Lokossa,623
01/06/24,Cotonou,619
02/06/24,Porto-Novo,542
03/06/24,Parakou,604
04/06/24,Natitingou,696
05/06/24,Bohicon,629
06/06/24,Lokossa,650
01/07/24,Cotonou,602
02/07/24,Porto-Novo,515
03/07/24,Parakou,517
04/07/24,Natitingou,692
05/07/24,Bohicon,594
06/07/24,Lokossa,615
08/08/24,Cotonou,602
08/08/24,Porto-Novo,519
08/08/24,Parakou,517
08/08/24,Natitingou,629
08/08/24,Bohicon,617
08/08/24,Lokossa,586